BCR_CODE	BCR_NAME
1	ALEUTIAN/BERING_SEA_ISLANDS
2	WESTERN_ALASKA
3	ARCTIC_PLAINS_AND_MOUNTAINS
4	NORTHWESTERN_INTERIOR_FOREST
5	NORTHERN_PACIFIC_RAINFOREST
6	BOREAL_TAIGA_PLAINS
7	TAIGA_SHIELD_AND_HUDSON_PLAINS
8	BOREAL_SOFTWOOD_SHIELD
9	GREAT_BASIN
10	NORTHERN_ROCKIES
11	PRAIRIE_POTHOLES
12	BOREAL_HARDWOOD_TRANSITION
13	LOWER_GREAT_LAKES/_ST._LAWRENCE_PLAIN
14	ATLANTIC_NORTHERN_FOREST
15	SIERRA_NEVADA
16	SOUTHERN_ROCKIES/COLORADO_PLATEAU
17	BADLANDS_AND_PRAIRIES
18	SHORTGRASS_PRAIRIE
19	CENTRAL_MIXED_GRASS_PRAIRIE
20	EDWARDS_PLATEAU
21	OAKS_AND_PRAIRIES
22	EASTERN_TALLGRASS_PRAIRIE
23	PRAIRIE_HARDWOOD_TRANSITION
24	CENTRAL_HARDWOODS
25	WEST_GULF_COASTAL_PLAIN/OUACHITAS
26	MISSISSIPPI_ALLUVIAL_VALLEY
27	SOUTHEASTERN_COASTAL_PLAIN
28	APPALACHIAN_MOUNTAINS
29	PIEDMONT
30	NEW_ENGLAND/MID-ATLANTIC_COAST
31	PENINSULAR_FLORIDA
32	COASTAL_CALIFORNIA
33	SONORAN_AND_MOJAVE_DESERTS
34	SIERRA MADRE OCCIDENTAL
35	CHIHUAHUAN DESERT
36	TAMAULIPAN_BRUSHLANDS
37	GULF_COASTAL_PRAIRIE
38	ISLAS MARIAS
39	SIERRAS DE BAJA CALIFORNIA
40	DESIERTO DE BAJA CALIFORNIA
41	ISLAS DEL GOLFO DE CALIFORNIA
42	SIERRAS Y PLANICIES DEL CABO
43	"PLANICIE COSTERA, LOMERIOS Y CANONES DE OCCIDENTE"
44	MARISMAS NACIONALES
45	PLANICIE COSTERA Y LOMERIOS DEL PACIFICO SUR
46	SUR DEL ALTIPLANO MEXICANO
47	EJE NEOVOLCANICO TRANSVERSAL
48	SIERRA MADRE ORIENTAL
49	PLANICIE COSTERA Y LOMERIOS SECOS DEL GOLFO DE MEXICO
50	CUENCA DEL RIO BALSAS
51	VALLE TEHUACAN-CUICATLAN
52	PLANICE COSTERA Y LOMERIOS HUMEDOS DEL GOLFO DE MEXICO
53	SIERRA MADRE DEL SUR
54	SIERRA NORTE DE PUEBLA-OAXACA
55	PLANICIE NOROCCIDENTAL DE YUCATAN
56	PLANICIE DE LA PENINSULA DE YUCATAN
57	ISLA COZUMEL
58	ALTOS DE CHIAPAS
59	DEPRESIONES INTERMONTANAS
60	SIERRA MADRE DE CHIAPAS
61	PLANICIE COSTERA DEL SOCONUSCO
62	ARCHIPIELAGO DE REVILLAGIGEDO
63	ISLA GUADALUPE
64	ARRECIFE ALACRANES
65	LOS TUXTLAS
66	PANTANOS DE CENTLA-LAGUNA DE TERMINOS
