TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,"English, IOC",SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
3,species,ostric2,Common Ostrich,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Ostriches,
5,species,ostric3,Somali Ostrich,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),,
6,slash,y00934,Common/Somali Ostrich,Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthioniformes,Struthionidae (Ostriches),,
7,species,grerhe1,Greater Rhea,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rheas,
13,species,lesrhe2,Lesser Rhea,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),,
14,issf,lesrhe4,Lesser Rhea (Puna),Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rheiformes,Rheidae (Rheas),,lesrhe2
17,issf,lesrhe3,Lesser Rhea (Darwin's),Lesser Rhea (Darwin's),Rhea pennata pennata,Rheiformes,Rheidae (Rheas),,lesrhe2
32,species,tabtin1,Tawny-breasted Tinamou,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),Tinamous,
33,species,higtin1,Highland Tinamou,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),,
34,issf,higtin2,Highland Tinamou (South American),Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Tinamiformes,Tinamidae (Tinamous),,higtin1
39,issf,higtin3,Highland Tinamou (Costa Rican),Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Tinamiformes,Tinamidae (Tinamous),,higtin1
40,species,hootin1,Hooded Tinamou,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),,
43,species,grytin1,Gray Tinamou,Grey Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),,
48,species,soltin1,Solitary Tinamou,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),,
49,species,blatin1,Black Tinamou,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),,
52,species,gretin1,Great Tinamou,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),,
65,species,whttin1,White-throated Tinamou,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),,
66,spuh,tinamu1,Tinamus sp.,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous),,
67,species,cintin1,Cinereous Tinamou,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),,
68,species,bertin1,Berlepsch's Tinamou,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),,
69,species,littin1,Little Tinamou,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),,
84,species,teptin1,Tepui Tinamou,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),,
85,species,brotin1,Brown Tinamou,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),,
86,issf,brntin1,Brown Tinamou (castaneus),Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tinamiformes,Tinamidae (Tinamous),,brotin1
86.5,issf,brntin2,Brown Tinamou (Brown),Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],Tinamiformes,Tinamidae (Tinamous),,brotin1
95,species,undtin1,Undulated Tinamou,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),,
102,species,pabtin1,Pale-browed Tinamou,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),,
103,species,bratin1,Brazilian Tinamou,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),,
104,species,gyltin1,Gray-legged Tinamou,Grey-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),,
105,species,reltin1,Red-legged Tinamou,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),,
113,species,yeltin1,Yellow-legged Tinamou,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),,
116,species,blctin1,Black-capped Tinamou,Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),,
119,species,slbtin1,Slaty-breasted Tinamou,Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),,
122,species,chotin1,Choco Tinamou,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),,
123,species,vartin1,Variegated Tinamou,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),,
124,species,thitin1,Thicket Tinamou,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),,
124.2,issf,thitin2,Thicket Tinamou (occidentalis),Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Tinamiformes,Tinamidae (Tinamous),,thitin1
124.4,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Tinamiformes,Tinamidae (Tinamous),,thitin1
134,species,rustin1,Rusty Tinamou,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),,
135,species,bartin2,Bartlett's Tinamou,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),,
136,species,smbtin1,Small-billed Tinamou,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),,
137,species,bartin1,Barred Tinamou,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),,
138,species,tattin1,Tataupa Tinamou,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),,
143,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),,
144,species,rewtin1,Red-winged Tinamou,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),,
148,species,huatin1,Huayco Tinamou,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),,
149,species,tactin1,Taczanowski's Tinamou,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),,
150,species,orntin1,Ornate Tinamou,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),,
154,species,chitin1,Chilean Tinamou,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),,
157,species,brutin1,Brushland Tinamou,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),,
160,species,andtin1,Andean Tinamou,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),,
168,species,cubtin1,Curve-billed Tinamou,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),,
171,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),,
172,species,whbnot1,White-bellied Nothura,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),,
173,species,lesnot1,Lesser Nothura,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),,
174,species,darnot1,Darwin's Nothura,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),,
180,species,sponot1,Spotted Nothura,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),,
189,species,chanot1,Chaco Nothura,Chaco Nothura,Nothura chacoensis,Tinamiformes,Tinamidae (Tinamous),,
190,species,dwatin1,Dwarf Tinamou,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),,
191,species,elctin1,Elegant Crested-Tinamou,Elegant Crested Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),,
202,species,quctin1,Quebracho Crested-Tinamou,Quebracho Crested Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),,
205,species,puntin1,Puna Tinamou,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),,
206,species,pattin1,Patagonian Tinamou,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),,
