TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
1,species,ostric2,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Ostriches,
6,species,ostric3,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),,
7,slash,y00934,Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthioniformes,Struthionidae (Ostriches),,
8,species,grerhe1,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rheas,
14,species,lesrhe2,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),,
15,issf,lesrhe4,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rheiformes,Rheidae (Rheas),,lesrhe2
18,issf,lesrhe3,Lesser Rhea (Darwin's),Rhea pennata pennata,Rheiformes,Rheidae (Rheas),,lesrhe2
19,species,tabtin1,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),Tinamous,
20,species,higtin1,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),,
21,issf,higtin2,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Tinamiformes,Tinamidae (Tinamous),,higtin1
26,issf,higtin3,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Tinamiformes,Tinamidae (Tinamous),,higtin1
27,species,hootin1,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),,
30,species,grytin1,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),,
35,species,soltin1,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),,
36,species,blatin1,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),,
39,species,gretin1,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),,
52,species,whttin1,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),,
53,spuh,tinamu1,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous),,
54,species,cintin1,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),,
55,species,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),,
56,species,littin1,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),,
71,species,teptin1,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),,
72,species,brotin1,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),,
73,issf,brntin1,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tinamiformes,Tinamidae (Tinamous),,brotin1
74,issf,brntin2,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],Tinamiformes,Tinamidae (Tinamous),,brotin1
83,species,undtin1,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),,
90,species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),,
91,species,bratin1,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),,
92,species,gyltin1,Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),,
