species_code,taxon_concept_id,scientific_name,common_name,order,family,family_common,category,taxonomic_order,report_as,extinct
ostric2,avibase-2247CB05,Struthio camelus,Common Ostrich,Struthioniformes,Struthionidae,Ostriches,species,2,,FALSE
ostric3,avibase-40329BB6,Struthio molybdophanes,Somali Ostrich,Struthioniformes,Struthionidae,Ostriches,species,7,,FALSE
y00934,avibase-5D14080C,Struthio camelus/molybdophanes,Common/Somali Ostrich,Struthioniformes,Struthionidae,Ostriches,slash,8,,
soucas1,avibase-8B9D93D8,Casuarius casuarius,Southern Cassowary,Casuariiformes,Casuariidae,Cassowaries and Emu,species,10,,FALSE
dwacas1,avibase-7751E0D1,Casuarius bennetti,Dwarf Cassowary,Casuariiformes,Casuariidae,Cassowaries and Emu,species,11,,FALSE
norcas1,avibase-32E7303B,Casuarius unappendiculatus,Northern Cassowary,Casuariiformes,Casuariidae,Cassowaries and Emu,species,14,,FALSE
emu1,avibase-FD2456D5,Dromaius novaehollandiae,Emu,Casuariiformes,Casuariidae,Cassowaries and Emu,species,15,,FALSE
sobkiw1,avibase-6BA55EF0,Apteryx australis,Southern Brown Kiwi,Apterygiformes,Apterygidae,Kiwis,species,21,,FALSE
sobkiw2,avibase-542125A3,Apteryx australis australis,Southern Brown Kiwi (South I.),Apterygiformes,Apterygidae,Kiwis,issf,22,sobkiw1,
sobkiw3,avibase-85AC0A84,Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),Apterygiformes,Apterygidae,Kiwis,issf,23,sobkiw1,
okbkiw1,avibase-D433BDAB,Apteryx rowi,Okarito Brown Kiwi,Apterygiformes,Apterygidae,Kiwis,species,24,,FALSE
nibkiw1,avibase-DB55CB8C,Apteryx mantelli,North Island Brown Kiwi,Apterygiformes,Apterygidae,Kiwis,species,25,,FALSE
x01217,avibase-2EF9EA71,Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),Apterygiformes,Apterygidae,Kiwis,hybrid,26,,
liskiw1,avibase-187706CF,Apteryx owenii,Little Spotted Kiwi,Apterygiformes,Apterygidae,Kiwis,species,27,,FALSE
x01059,avibase-9B30D5F8,Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),Apterygiformes,Apterygidae,Kiwis,hybrid,28,,
grskiw1,avibase-0D8B9E40,Apteryx maxima,Great Spotted Kiwi,Apterygiformes,Apterygidae,Kiwis,species,29,,FALSE
kiwi1,avibase-262DB4D5,Apteryx sp.,kiwi sp.,Apterygiformes,Apterygidae,Kiwis,spuh,30,,
grerhe1,avibase-00986B24,Rhea americana,Greater Rhea,Rheiformes,Rheidae,Rheas,species,32,,FALSE
lesrhe2,avibase-590ADF92,Rhea pennata,Lesser Rhea,Rheiformes,Rheidae,Rheas,species,38,,FALSE
lesrhe4,avibase-499B75D1,Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),Rheiformes,Rheidae,Rheas,issf,39,lesrhe2,
lesrhe3,avibase-BA52A675,Rhea pennata pennata,Lesser Rhea (Darwin's),Rheiformes,Rheidae,Rheas,issf,42,lesrhe2,
puntin1,avibase-0A51B426,Tinamotis pentlandii,Puna Tinamou,Tinamiformes,Tinamidae,Tinamous,species,44,,FALSE
pattin1,avibase-EC451D91,Tinamotis ingoufi,Patagonian Tinamou,Tinamiformes,Tinamidae,Tinamous,species,45,,FALSE
quctin1,avibase-9337459C,Eudromia formosa,Quebracho Crested-Tinamou,Tinamiformes,Tinamidae,Tinamous,species,46,,FALSE
elctin1,avibase-4E215E82,Eudromia elegans,Elegant Crested-Tinamou,Tinamiformes,Tinamidae,Tinamous,species,49,,FALSE
elecrt11,avibase-AF3B0971,Eudromia elegans [intermedia Group],Elegant Crested-Tinamou (Northern),Tinamiformes,Tinamidae,Tinamous,issf,50,elctin1,
elecrt12,avibase-1F35FA73,Eudromia elegans [elegans Group],Elegant Crested-Tinamou (Southern),Tinamiformes,Tinamidae,Tinamous,issf,54,elctin1,
dwatin1,avibase-B62C4561,Taoniscus nanus,Dwarf Tinamou,Tinamiformes,Tinamidae,Tinamous,species,62,,FALSE
whbnot1,avibase-458340C7,Nothura boraquira,White-bellied Nothura,Tinamiformes,Tinamidae,Tinamous,species,63,,FALSE
lesnot1,avibase-99D7964C,Nothura minor,Lesser Nothura,Tinamiformes,Tinamidae,Tinamous,species,64,,FALSE
darnot1,avibase-F7D16275,Nothura darwinii,Darwin's Nothura,Tinamiformes,Tinamidae,Tinamous,species,65,,FALSE
sponot1,avibase-03C3DDFB,Nothura maculosa,Spotted Nothura,Tinamiformes,Tinamidae,Tinamous,species,71,,FALSE
y01225,avibase-39884CBA,Nothura boraquira/maculosa,White-bellied/Spotted Nothura,Tinamiformes,Tinamidae,Tinamous,slash,81,,
y01226,avibase-674A1BB6,Nothura minor/maculosa,Lesser/Spotted Nothura,Tinamiformes,Tinamidae,Tinamous,slash,82,,
y01375,avibase-F7D0D942,Nothura darwinii/maculosa,Darwin's/Spotted Nothura,Tinamiformes,Tinamidae,Tinamous,slash,83,,
huatin1,avibase-94AF5DC7,Rhynchotus maculicollis,Huayco Tinamou,Tinamiformes,Tinamidae,Tinamous,species,84,,FALSE
rewtin1,avibase-C141F60A,Rhynchotus rufescens,Red-winged Tinamou,Tinamiformes,Tinamidae,Tinamous,species,85,,FALSE
brutin1,avibase-4C8BCEC2,Nothoprocta cinerascens,Brushland Tinamou,Tinamiformes,Tinamidae,Tinamous,species,89,,FALSE
andtin1,avibase-7A66539A,Nothoprocta pentlandii,Andean Tinamou,Tinamiformes,Tinamidae,Tinamous,species,92,,FALSE
andtin10,avibase-09AC1424,Nothoprocta pentlandii [oustaleti Group],Andean Tinamou (Northern),Tinamiformes,Tinamidae,Tinamous,issf,93,andtin1,
andtin11,avibase-F5B92081,Nothoprocta pentlandii [pentlandii Group],Andean Tinamou (Southern),Tinamiformes,Tinamidae,Tinamous,issf,97,andtin1,
cubtin1,avibase-F68CA24D,Nothoprocta curvirostris,Curve-billed Tinamou,Tinamiformes,Tinamidae,Tinamous,species,103,,FALSE
