GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS120234325	2013-11-13 15:49:27	18722	species	Gray Jay	Perisoreus canadensis			3				Canada	CA	Manitoba	CA-MB	Churchill and Northern Manitoba	CA-MB-EE	CA-MB_003	7			Churchill--Twin Lakes Rd.	L349501	H	58.69846	-93.85119	2011-06-02	10:30:00	obsr269269	S8355489	Traveling	P22	EBIRD	60	8.047		4	1	G268135	0	1	0		Biking; warm, about 60-65F	
URN:CornellLabOfOrnithology:EBIRD:OBS160958943	2017-10-19 09:59:32	18722	species	Gray Jay	Perisoreus canadensis			1				Canada	CA	Alberta	CA-AB	Calgary	CA-AB-SI		11			Horse Creek Road Marshes	L1594810	H	51.2826655	-114.5408776	2012-06-02	08:00:00	obsr131954	S11346052	Traveling	P22	EBIRD_CAN	120	5		8	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS124851664	2017-08-15 16:14:25	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Manitoba	CA-MB	Churchill and Northern Manitoba	CA-MB-EE		7			atlas square: 15VD67 - Owl River_Silcox Creek	L1260225	P	57.4708769	-93.6669112	2011-06-19	09:19:00	obsr121883	S8720531	Traveling	P22	EBIRD	5	12.874		1	1		0	1	0		Manitoba Breeding Bird Atlas Daily Observations	
URN:CornellLabOfOrnithology:EBIRD:OBS587755907	2018-03-14 05:34:59	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Quebec	CA-QC	Temiscouata	CA-QC-TT		14			Saint-Elzear-de-Temiscouata	L7063330	P	47.58333	-69.1	2010-09-21	06:30:00	obsr516205	S43636296	Historical	P62	EBIRD_QC	90			1	1		0	1	0		Feuillet d'EPOQ no 869453. Observateur : Rejean Deschenes.	
URN:CornellLabOfOrnithology:EBIRD:OBS262632905	2014-07-06 20:18:16	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Manitoba	CA-MB	Thompson and North Central	CA-MB-TY		8			atlas square: 14NG79 - point  No. 3	L1262420	P	55.8919792	-97.7391205	2011-07-02	06:22:00	obsr121883	S19011614	Stationary	P21	EBIRD	5			1	1		0	1	0		Manitoba Breeding Bird Atlas Point Count	
URN:CornellLabOfOrnithology:EBIRD:OBS170755368	2013-11-13 15:21:39	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Manitoba	CA-MB	Thompson and North Central	CA-MB-TY		8			atlas square: 14PG27 ( No. 515634)	L1817150	P	55.6744499	-96.9764404	2012-07-11	06:20:00	obsr340708	S12150049	Stationary	P21	EBIRD	5			1	1		0	1	0		Manitoba Breeding Bird Atlas Point Count	
URN:CornellLabOfOrnithology:EBIRD:OBS164663264	2012-09-24 16:40:57	18722	species	Gray Jay	Perisoreus canadensis			1				Canada	CA	British Columbia	CA-BC	Okanagan-Similkameen	CA-BC-OS		9			atlas square: 11LQ35 ( No. 333984)	L1760887	P	49.1977882	-119.3207932	2012-06-21	07:59:00	obsr16582	S11655735	Stationary	P21	EBIRD_CAN	5			1	1		0	1	0		British Columbia Breeding Bird Atlas Point Count	
URN:CornellLabOfOrnithology:EBIRD:OBS124840390	2017-08-15 16:14:25	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Manitoba	CA-MB	Churchill and Northern Manitoba	CA-MB-EE		7			atlas square: 15WE10 - Owl River Compound	L1260029	P	57.7420072	-92.8320279	2011-06-24	08:00:00	obsr121883	S8719997	Traveling	P22	EBIRD	5	12.874		1	1	G419498	0	1	0		Manitoba Breeding Bird Atlas Daily Observations	
URN:CornellLabOfOrnithology:EBIRD:OBS132898007	2014-10-06 20:19:30	18722	species	Gray Jay	Perisoreus canadensis			1				Canada	CA	Newfoundland and Labrador	CA-NL	Labrador-Happy Valley-Goose Bay	CA-NL-TE		8			Labrador City	L141390	T	52.9500809	-66.9193573	2011-12-12	09:00:00	obsr19197	S9331631	Traveling	P22	EBIRD	120	14.484		1	1		0	1	0		Town and narrows	
URN:CornellLabOfOrnithology:EBIRD:OBS160323074	2013-11-13 15:08:14	18722	species	Gray Jay	Perisoreus canadensis			1				Canada	CA	Manitoba	CA-MB	Eastern Manitoba - Eastman	CA-MB-ON		12			atlas square: 14QV19 - FR 31	L1545959	P	49.5716289	-96.0749219	2012-07-28	11:10:00	obsr121883	S11290930	Traveling	P22	EBIRD	30	8.69		1	1		0	1	0		Manitoba Breeding Bird Atlas Daily Observations	
URN:CornellLabOfOrnithology:EBIRD:OBS262667502	2014-07-06 21:46:47	18722	species	Gray Jay	Perisoreus canadensis			1				Canada	CA	Manitoba	CA-MB	Churchill and Northern Manitoba	CA-MB-EE		7			atlas square: 15WC40 ( No. 508190)	L2964812	P	55.9508787	-92.2478329	2011-07-06	07:13:00	obsr121883	S19014645	Stationary	P21	EBIRD	5			1	1		0	1	0		Manitoba Breeding Bird Atlas Point Count	
URN:CornellLabOfOrnithology:EBIRD:OBS148591794	2014-10-06 20:19:31	18722	species	Gray Jay	Perisoreus canadensis			7				Canada	CA	Newfoundland and Labrador	CA-NL	Labrador-Happy Valley-Goose Bay	CA-NL-TE		8			Labrador City	L141390	T	52.9500809	-66.9193573	2012-04-10	09:00:00	obsr19197	S10463996	Traveling	P22	EBIRD	120	12.875		1	1		0	1	0		Town	
