GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS124930536	2013-11-13 14:55:38	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				1					Canada	CA	Manitoba	CA-MB	North East Northern Region	CA-MB-NT		8			atlas square: 14PC49 ( No. 506216)	L1262094	P	52.2594075	-96.8169170	2011-07-12	07:16:00	obsr121883		S8726496	Stationary	Stationary	P21			5			1	1		0	1	0		Manitoba Breeding Bird Atlas Point Count	
URN:CornellLabOfOrnithology:EBIRD:OBS163884393	2013-03-15 17:32:31	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				2					United States	US	Oregon	US-OR	Lane	US-OR-039		5			Creswell House	L1123211	P	43.8948966	-122.9290871	2012-09-16	08:30:00	obsr236430		S11593649	Traveling	Traveling	P22			75	1.609		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS644730624	2025-06-30 10:13:22.884495	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				5					Canada	CA	Quebec	CA-QC	Les Sources	CA-QC-AS		14			Saint-Georges-de-Windsor, Boise de la Domtar (acces restreint)	L3436402	P	45.6416571	-71.8548140	2012-12-16	10:00:00	obsr485521		S47574783	Traveling	Traveling	P22			120	0.200		2	1		0	1	1		Feuillet d'EPOQ no 1520781. Observateurs : Benoit Turgeon, Lise Turgeon. Rejean Turgeon	
URN:CornellLabOfOrnithology:EBIRD:OBS127228393	2011-10-02 19:17:59	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				2					United States	US	Washington	US-WA	Chelan	US-WA-007		9			#2b East Fish Lake	L561858	P	47.8370118	-120.6858444	2011-10-02	10:30:00	obsr221054		S8888938	Traveling	Traveling	P22			30	0.402		3	1	G300943	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS86967601	2014-10-06 20:24:16	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				1					Canada	CA	Newfoundland and Labrador	CA-NL	Labrador-Happy Valley-Goose Bay	CA-NL-TE		8			Labrador City	L141390	T	52.9500809	-66.9193573	2010-03-01	11:30:00	obsr19197		S6090024	Traveling	Traveling	P22			120	16.000		1	1		0	1	0		Around town	
URN:CornellLabOfOrnithology:EBIRD:OBS95369773	2025-10-19 13:33:09.239201	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				X					United States	US	Oregon	US-OR	Lake	US-OR-037		9			5 Corners Fremont National Forest	L958138	P	42.1541383	-120.2053514	2010-07-15	06:00:00	obsr225050		S6649345	Traveling	Traveling	P22			120	1.609		1	0		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1530086526	2022-10-01 17:05:24.109757	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				2					Canada	CA	Quebec	CA-QC	Jamesie	CA-QC-JAM		8			Lac Pusticamica	L21079929	P	49.3500000	-76.3666700	2011-06-28	06:30:00	obsr3413581		S119788037	Historical	Historical	P62			120			1	1		0	1	0		Feuillet d'EPOQ no 126015. Observateur : Philippe Cadieux.	
URN:CornellLabOfOrnithology:EBIRD:OBS122378021	2021-11-11 12:58:54.073359	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				2					Canada	CA	Alberta	CA-AB	Fort MacLeod	CA-AB-TR		10			Waterton Lakes NP--Alderson Lake	L739137	H	49.0284142	-113.9668465	2011-07-07	10:00:00	obsr213525		S8526215	Traveling	Traveling	P22			120	2.000		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS104460936	2021-03-26 03:56:07.714091	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				1					United States	US	Minnesota	US-MN	Kittson	US-MN-069		11			feed station	L999702	P	48.8614751	-96.8042412	2011-01-01	08:00:00	obsr230599		S7346666	Stationary	Stationary	P21			120			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS159767280	2022-07-29 00:54:42.20226	21181	species	avibase-69A6E32F	Canada Jay	Perisoreus canadensis				1					United States	US	Washington	US-WA	Whatcom	US-WA-073		9			Harts Pass (Whatcom Co.)	L1332415	H	48.7242832	-120.6639348	2012-07-28	09:06:00	obsr18326		S11234901	Traveling	Traveling	P22			108	0.805		2	1	G1351311	0	1	0			
