GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS116241576	2011-04-25 00:10:45	20145	species	Green Jay	Cyanocorax yncas			1				United States	US	Texas	US-TX	Starr	US-TX-427		36			Roma Bluffs WBC (LTC 077)	L301115	H	26.4052015	-99.0189583	2011-04-13	09:30:00	obsr94083	S8115048	Stationary	P21	EBIRD	15			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS150652096	2014-02-14 22:21:12	20207	species	Blue Jay	Cyanocitta cristata			3				United States	US	Pennsylvania	US-PA	Centre	US-PA-027		28			Lederer Park	L264495	H	40.796329	-77.840593	2012-05-01	09:10:00	obsr213679	S10598181	Traveling	P22	EBIRD	35	.805		25	1	G400787	0	1	0		WFS 406 Final Field Trip----Weather was cool, with light wind and cloudy skies.		
URN:CornellLabOfOrnithology:EBIRD:OBS99511963	2017-01-11 14:22:09	20207	species	Blue Jay	Cyanocitta cristata			2				United States	US	Nebraska	US-NE	Otoe	US-NE-131		22			#home yrd, NE Cty, NE	L668707	P	40.6876064	-95.8640733	2010-10-07	07:15:00	obsr173362	S6969484	Stationary	P21	EBIRD	120				1		0	1	0		78/43  0.00		
URN:CornellLabOfOrnithology:EBIRD:OBS83059546	2018-08-04 17:50:57	20187	species	Steller's Jay	Cyanocitta stelleri			2				United States	US	Washington	US-WA	King	US-WA-033		5			Juanita Bay Park	L232479	H	47.6981686	-122.2101878	2010-02-06	08:30:00	obsr18326	S5863391	Traveling	P22	EBIRD	90	2.012		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS233250100	2018-06-17 16:48:37	20145	species	Green Jay	Cyanocorax yncas			3				United States	US	Texas	US-TX	Hidalgo	US-TX-215		36			Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069)	L128890	H	26.1838822	-98.3796179	2011-12-04	07:10:00	obsr283066	S16855933	Traveling	P22	EBIRD_TX	65	.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS201666819	2013-09-12 20:57:20	20145	species	Green Jay	Cyanocorax yncas			5				Mexico	MX	Chiapas	MX-CHP			MX_169	60			Mty3_Punto_2	L2234426	P	15.7161983	-92.8954185	2011-12-16	09:30:00	obsr313215	S14437053	Traveling	P22	EBIRD	10	.257		1	1		0	1	0		Calixto Morales Hdz. Transecto Reforma. Angel Albino Corzo,1567 MSN. Monitoreo Comunitario		
URN:CornellLabOfOrnithology:EBIRD:OBS168785494	2018-08-04 14:31:01	20207	species	Blue Jay	Cyanocitta cristata			X				United States	US	New York	US-NY	Suffolk	US-NY-103		30			North Fork Preserve	L1421657	H	40.97294	-72.6178146	2012-11-06	07:30:00	obsr195525	S11979861	Traveling	P22	EBIRD	90	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS145973276	2018-08-05 13:01:22	20207	species	Blue Jay	Cyanocitta cristata			1				United States	US	Michigan	US-MI	Ottawa	US-MI-139		23			Pine Creek Park	L612025	H	42.7983922	-86.1432195	2012-03-27	09:00:00	obsr112852	S10277656	Traveling	P22	EBIRD	60	1.609		1	1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS417644335	2016-11-16 13:51:37	20145	species	Green Jay	Cyanocorax yncas			6				Mexico	MX	Yucatan	MX-YUC				55			Cenote, camino a Chunchucmil, Yucatan	L4704978	P	20.8314091	-90.1946747	2011-11-04	06:16:00	obsr199015	S30663744	Stationary	P21	EBIRD	30			2	1		0	1	0		Monitoring project for CONABIO with Alexander Dzib.		
URN:CornellLabOfOrnithology:EBIRD:OBS165907255	2018-07-09 16:46:16	20207	species	Blue Jay	Cyanocitta cristata			4				United States	US	West Virginia	US-WV	Monongalia	US-WV-061		28			Little Indian Creek WMA	L1167918	H	39.5883273	-80.0684452	2012-10-08	09:25:00	obsr95262	S11746431	Traveling	P22	EBIRD	120	2.092		1	1		0	1	0			1 heard only.	
