GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS935079959	2022-02-08 23:15:21.050705	9929	species	avibase-39629250	Blue-eared Kingfisher	Alcedo meninting				1					Singapore	SG	Singapore	SG-			BIRDLIFE_16392				Bukit Batok Nature Park	L934775	H	1.3487000	103.7634659	2012-01-20		obsr356383		S69875635	Historical	Historical	P62						2	1		1	1	1			See photo	
URN:CornellLabOfOrnithology:EBIRD:OBS668127970	2023-01-29 01:40:05.114117	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				2					Singapore	SG	Singapore	SG-							Singapore Botanic Gardens	L952084	H	1.3148322	103.8159621	2012-01-21		obsr670438		S49291724	Historical	Historical	P62						1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS668099583	2024-10-24 10:50:37.607947	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				2					Singapore	SG	Singapore	SG-							Bidadari	L3345783	H	1.3402690	103.8739890	2012-01-07		obsr670438		S49289753	Historical	Historical	P62						1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS136200598	2025-10-12 18:48:01.025063	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				5					Singapore	SG	Singapore	SG-			BIRDLIFE_16391				Pasir Ris Park	L1459790	H	1.3797221	103.9499173	2012-01-15	16:00:00	obsr205759		S9589875	Traveling	Traveling	P22			60	3.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS668130830	2022-03-12 04:34:18.269125	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				9					Singapore	SG	Singapore	SG-							East Coast Park - west	L6001999	H	1.3014917	103.9156008	2012-01-14		obsr670438		S49291992	Historical	Historical	P62						1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS668102872	2021-12-19 21:32:50.111279	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				1					Singapore	SG	Singapore	SG-							Changi Village / Changi Pt Ferry Terminal	L6001655	H	1.3904410	103.9875451	2012-01-08		obsr670438		S49289956	Historical	Historical	P62						1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS135345144	2025-10-12 18:39:32.404465	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				10					Singapore	SG	Singapore	SG-			BIRDLIFE_16393				Sungei Buloh Wetland Reserve	L927971	H	1.4461788	103.7286058	2012-01-07	10:00:00	obsr205759		S9521941	Traveling	Traveling	P22			480	10.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS668108663	2018-10-19 10:08:58	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				2					Singapore	SG	Singapore	SG-							Amber Rd	L8045316	P	1.2988501	103.8998019	2012-01-17		obsr670438		S49290696	Historical	Historical	P62						1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS668093792	2021-04-02 03:48:32.779414	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				1					Singapore	SG	Singapore	SG-							Eastern Singapore (General Area)	L8045303	P	1.3134882	103.9339324	2012-01-16		obsr670438		S49289324	Historical	Historical	P62						1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS136979336	2022-03-12 04:34:18.269125	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				2					Singapore	SG	Singapore	SG-			BIRDLIFE_16391				Nee Soon Road	L1385351	P	1.4008671	103.8221540	2012-01-21	08:00:00	obsr204697		S9642040	Traveling	Traveling	P22			240	0.805		2	1		0	1	0		31oF, Sunny, humid.		
URN:CornellLabOfOrnithology:EBIRD:OBS3832844576	2025-12-06 00:09:40.089807	10184	species	avibase-5DA28D37	Collared Kingfisher	Todiramphus chloris				1					Singapore	SG	Singapore	SG-			BIRDLIFE_16391				Lorong Halus Wetland	L17329918	P	1.3954357	103.9231206	2012-01-27	15:30:00	obsr2896298		S287446031	Traveling	Traveling	P22			60	1.000		1	1		0	1	0				
